Conta;Classificação;C5;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2025;01/02/2025
1065;Custos variáveis;1065 - Doacoes e Brindes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1066;Custos fixos;1066 - Seguros; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-288 
1067;Custos fixos;1067 - Correios e Malotes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1068;Custos fixos;1068 - Jornais, Revistas e Periodicos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1069;Custos variáveis;1069 - Despesas com Analises; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1070;Custos fixos;1070 - Material de Seguranca; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1071;Custos variáveis;1071 - Bens de Consumo Duraveis; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1072;Custos variáveis;1072 - Material de Escritorio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1073;Custos variáveis;1073 - Fretes e Carretos;-6.213 ;-6.501 ;-6.811 ;-6.501 ;-7.430 ;-6.811 ;-7.120 ;-7.316 ;-6.560 ;-6.096 ;-2.593 ;-4.418 
1074;Custos fixos;1074 - Material de Consumo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1075;Custos variáveis;1075 - Fretes de Frango Vivo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1076;Custos fixos;1076 - Arrendamento Mercantil Leasing; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1077;Custos fixos;1077 - Farmacia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1078;Custos fixos;1078 - Propaganda e Publicidade; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1079;Custos variáveis;1079 - Despesas c/ Viagens, Estadias e Refeicoes;-10.008 ;-10.473 ;-10.972 ;-10.473 ;-11.969 ;-10.972 ;-11.470 ;-11.785 ;-10.567 ;-9.821 ;-5.860 ;-1.689 
1081;Custos fixos;1081 - Mensalidades e Anuidades; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1082;Custos fixos;1082 - Despesas com Transporte de Pessoal; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1083;Custos fixos;1083 - Material de Expediente; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1086;Custos fixos;1086 - Despesas com Cartorio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
