Conta;DRE1;C5;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/25;fev/25
1183;Impostos sobre vendas;1183 - INSS Desoneracao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1188;Custos variáveis;1188 - Material Intermediario;-7.007,75 ;-8.508,01 ;-8.914,42 ;-10.072,63 ;-11.562,32 ;-10.573,31 ;-11.062,92 ;-11.500,63 ;-10.010,44 ;-10.046,53 ;-7.911,36 ;-7.625,83 
1189;Despesas Financeiras Bancárias;1189 - Outras Despesas Financeiras;-499,12 ;-600,84 ;-647,07 ;-738,39 ;-858,41 ;-784,37 ;-863,85 ;-934,00 ;-821,98 ;-811,16 ; -   ; -   
1191;Despesas Comerciais / Logistica/ Expedição fixas;1191 - Servico de Consultoria e Assessoria;-61.448,41 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-271.727,00 ;-111.356,65 ;-198.131,70 
1192;Custos fixos;1192 - Conselho de Classe;-108,69 ;-131,96 ;-138,26 ;-156,23 ;-179,34 ;-164,00 ;-171,59 ;-178,37 ;-155,26 ;-155,82 ; -   ;-103,00 
1193;Despesas Administrativas fixas;1193 - Conselho de Classe; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-777,94 ; -   
1199;Custos fixos;1199 - INSS Desoneracao;-78.336,66 ;-94.303,10 ;-101.558,00 ;-115.891,40 ;-134.728,88 ;-123.107,66 ;-135.583,38 ;-146.592,57 ;-129.009,82 ;-127.311,84 ;-85.413,84 ;-83.442,43 
1200;Despesas Administrativas fixas;1200 - INSS Desoneracao;-11.190,95 ;-13.471,87 ;-14.508,29 ;-16.555,92 ;-19.246,99 ;-17.586,81 ;-19.369,05 ;-20.941,80 ;-18.429,98 ;-18.187,41 ;-15.044,49 ;-15.496,46 
1203;Outras Receitas/Despesas Operacionais;1203 - Credito INSS Verbas Indenizatorias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1206;Custos fixos;1206 - Vale Transporte;-12.402,38 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-10.924,95 ;-3.117,11 ;-5.717,09 
1208;Outras Receitas/Despesas Operacionais;1208 - Ganhos e Perdas de Capital; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19.415,29 ; 8.374,00 
1210;Custos fixos;1210 - Acordo Trabalhista;-46.735,42 ;-41.168,08 ;-41.168,08 ;-41.168,08 ;-41.168,08 ;-41.168,08 ;-41.168,08 ;-41.168,08 ;-41.168,08 ;-41.168,08 ; -   ;-2.093,50 
1211;Despesas Comerciais / Logistica/ Expedição fixas;1211 - Acordo Judicial;-655,11 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-1.317,82 ;-629,72 ;-635,59 
1212;Despesas Comerciais / Logistica/ Expedição fixas;1212 - Material de Expediente;-2.725,01 ;-3.298,55 ;-3.456,11 ;-3.905,15 ;-4.482,70 ;-4.099,27 ;-4.289,08 ;-4.458,79 ;-3.881,04 ;-3.895,03 ;-161,27 ;-923,64 
1213;Outras Receitas/Despesas Operacionais;1213 - Receitas Operacionais; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 43,43 ; -   
1215;Despesas Comerciais / Logistica/ Expedição fixas;1215 - Manutencao e Conservacao de Benfeitorias;-771,10 ;-933,39 ;-977,98 ;-1.105,05 ;-1.268,48 ;-1.159,97 ;-1.213,69 ;-1.261,71 ;-1.098,22 ;-1.102,19 ;-4.214,81 ;-26,74 
1216;Outras Receitas/Despesas Operacionais;1216 - Bonificacoes Recebidas; 1.840,24 ; 2.234,21 ; 2.340,93 ; 2.645,07 ; 3.036,26 ; 2.776,55 ; 2.905,12 ; 3.020,07 ; 2.628,74 ; 2.638,22 ; 672,53 ; 2.258,45 
1217;Despesas Comerciais / Logistica/ Expedição fixas;1217 - Material de Informatica;-57,70 ;-69,84 ;-73,17 ;-82,68 ;-94,91 ;-86,80 ;-90,82 ;-94,41 ;-82,17 ;-82,47 ;-3.617,57 ;-340,86 
1219;Despesas Comerciais / Logistica/ Expedição fixas;1219 - Servicos Profissionais Contratados P. Juridica;-2.171,14 ;-2.628,11 ;-2.753,66 ;-3.111,42 ;-3.571,59 ;-3.266,08 ;-3.417,32 ;-3.552,53 ;-3.092,21 ;-3.103,35 ;-1.387,16 ;-5.418,71 
1222;Custos fixos;1222 - Custas Processuais;-25,55 ;-31,02 ;-32,50 ;-36,72 ;-42,15 ;-38,55 ;-40,34 ;-41,93 ;-36,49 ;-36,63 ;-955,32 ; -   
1224;Despesas Comerciais / Logistica/ Expedição fixas;1224 - Provisao 1/3 sobre Ferias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1225;Despesas Comerciais / Logistica/ Expedição fixas;1225 - Dia em Dobro;-452,20 ;-909,64 ;-909,64 ;-909,64 ;-909,64 ;-909,64 ;-909,64 ;-909,64 ;-909,64 ;-909,64 ;-754,82 ; -   
1226;Despesas Comerciais / Logistica/ Expedição fixas;1226 - Hora Extra 50%; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-2.114,17 ;-17.637,57 
1227;Despesas Comerciais / Logistica/ Expedição fixas;1227 - DSR s/ Adicionais;-231,95 ;-466,60 ;-466,60 ;-466,60 ;-466,60 ;-466,60 ;-466,60 ;-466,60 ;-466,60 ;-466,60 ;-4.416,87 ;-463,29 
1228;Despesas Comerciais / Logistica/ Expedição fixas;1228 - Decimo Terceiro Prop. Demissao;-12.284,62 ;-24.711,93 ;-24.711,93 ;-24.711,93 ;-24.711,93 ;-24.711,93 ;-24.711,93 ;-24.711,93 ;-24.711,93 ;-24.711,93 ; -   ;-363,28 
1229;Despesas Comerciais / Logistica/ Expedição fixas;1229 - INSS Terceiros;-9.194,19 ;-13.717,76 ;-13.724,03 ;-13.741,92 ;-13.764,93 ;-13.749,66 ;-13.757,22 ;-13.763,98 ;-13.740,96 ;-13.741,52 ;-8.406,22 ;-6.195,91 
1230;Despesas Comerciais / Logistica/ Expedição fixas;1230 - INSS Acidente de Trabalho;-3.677,68 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-8.395,70 ;-10.551,74 ;-6.625,74 
1231;Custos fixos;1231 - Premio;-134.236,68 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-118.245,79 ;-67.638,29 ;-119.235,61 
1232;Despesas Administrativas fixas;1232 - Premio;-26.131,27 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-27.865,10 ;-1.351,98 ;-2.601,95 
1233;Despesas Comerciais / Logistica/ Expedição fixas;1233 - Premio;-37.890,99 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-76.222,07 ;-22.365,95 ;-37.529,22 
1234;Despesas Administrativas fixas;1234 - Ferias Proporcionais;-4.645,92 ;-4.954,18 ;-4.954,18 ;-4.954,18 ;-4.954,18 ;-4.954,18 ;-4.954,18 ;-4.954,18 ;-4.954,18 ;-4.954,18 ; -   ;-1.371,15 
1235;Despesas Administrativas fixas;1235 - 1/3 Ferias Proporcionais;-1.548,64 ;-1.651,39 ;-1.651,39 ;-1.651,39 ;-1.651,39 ;-1.651,39 ;-1.651,39 ;-1.651,39 ;-1.651,39 ;-1.651,39 ; -   ;-457,05 
1236;Despesas Comerciais / Logistica/ Expedição fixas;1236 - Adicional 1/3 Ferias; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1237;Despesas Comerciais / Logistica/ Expedição fixas;1237 - Trienio;-36,13 ;-72,67 ;-72,67 ;-72,67 ;-72,67 ;-72,67 ;-72,67 ;-72,67 ;-72,67 ;-72,67 ;-26,04 ;-26,04 
1238;Despesas Comerciais / Logistica/ Expedição fixas;1238 - Adicional de Insalubridade;-844,64 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-1.699,08 ;-762,70 ;-762,70 
1239;Despesas Comerciais / Logistica/ Expedição fixas;1239 - Adicional Noturno;-7.238,69 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-14.561,46 ;-8.516,27 ;-8.546,96 
1240;Despesas Comerciais / Logistica/ Expedição fixas;1240 - Adicional de Periculosidade;-2.387,86 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-4.803,47 ;-1.414,27 ;-1.414,27 
